band,wavelength,I_photo_sky,mag_sky,mag_pts
0,4000,0.1534,23.33,23.02
1,4125,0.2052,23.37,23.05
2,4250,0.2221,23.46,23.14
3,4375,0.2557,23.48,23.16
4,4500,0.2999,23.46,23.14
5,4625,0.3221,23.47,23.15
6,4750,0.3342,23.47,23.15
7,4875,0.3399,23.48,23.16
8,5000,0.3358,23.48,23.16
9,5125,0.3294,23.47,23.15
10,5250,0.3244,23.44,23.12
11,5375,0.3163,23.4,23.09
12,5500,0.3945,23.24,22.92
13,5625,0.387,23.18,22.87
14,5750,0.2952,23.26,22.94
15,5875,0.3071,23.18,22.86
16,6000,0.2886,23.15,22.83
17,6125,0.2578,23.15,22.83
18,6250,0.3169,22.97,22.65
19,6375,0.3047,22.92,22.6
20,6500,0.2267,23,22.68
21,6625,0.2006,22.98,22.66
22,6750,0.1819,22.93,22.61
23,6875,0.1755,22.82,22.51
24,7000,0.152,22.79,22.47
25,7125,0.1333,22.74,22.42
26,7250,0.1632,22.48,22.16
27,7375,0.1617,22.35,22.03
28,7500,0.1099,22.33,22.01
29,7625,0.09589,22.15,21.83
30,7750,0.1262,21.92,21.6
31,7875,0.1438,21.77,21.45
32,8000,0.1081,21.76,21.44
33,8125,0.06286,21.85,21.53
34,8250,0.07501,21.62,21.3
35,8375,0.1058,21.34,21.02
36,8500,0.08193,21.34,21.03
37,8625,0.06379,21.33,21.02
38,8750,0.09328,21.03,20.71
39,8875,0.1067,20.82,20.5
