band,wavelength,I_photo_sky,mag_sky,mag_pts
0,4000,0.1534,22.87,22.55
1,4125,0.2052,22.91,22.59
2,4250,0.2221,23,22.68
3,4375,0.2557,23.01,22.7
4,4500,0.2999,23,22.68
5,4625,0.3221,23,22.69
6,4750,0.3342,23.01,22.69
7,4875,0.3399,23.01,22.7
8,5000,0.3358,23.02,22.7
9,5125,0.3294,23.01,22.69
10,5250,0.3244,22.98,22.66
11,5375,0.3163,22.94,22.62
12,5500,0.3945,22.78,22.46
13,5625,0.387,22.72,22.4
14,5750,0.2952,22.8,22.48
15,5875,0.3071,22.72,22.4
16,6000,0.2886,22.69,22.37
17,6125,0.2578,22.69,22.37
18,6250,0.3169,22.51,22.19
19,6375,0.3047,22.46,22.14
20,6500,0.2267,22.54,22.22
21,6625,0.2006,22.52,22.2
22,6750,0.1819,22.47,22.15
23,6875,0.1755,22.36,22.04
24,7000,0.152,22.32,22.01
25,7125,0.1333,22.27,21.95
26,7250,0.1632,22.02,21.7
27,7375,0.1617,21.88,21.56
28,7500,0.1099,21.87,21.55
29,7625,0.09589,21.69,21.37
30,7750,0.1262,21.45,21.13
31,7875,0.1438,21.3,20.99
32,8000,0.1081,21.29,20.97
33,8125,0.06286,21.39,21.07
34,8250,0.07501,21.16,20.84
35,8375,0.1058,20.88,20.56
36,8500,0.08193,20.88,20.56
37,8625,0.06379,20.87,20.55
38,8750,0.09328,20.56,20.24
39,8875,0.1067,20.36,20.04
